gender,size,min_length_in_mm,max_length_in_mm
M,5,234,241
M,6,242,249
M,7,250,257
M,8,258,265
M,9,266,273
M,10,274,281
M,11,282,289
M,12,290,297
M,13,298,304
M,14,305,312
M,15,313,320
M,16,321,328
M,17,329,336
W,2,209,216
W,3,217,224
W,4,225,233
W,5,234,241
W,6,242,249
W,7,250,257
W,8,258,265
W,9,266,273
W,10,274,281
W,11,282,289
W,12,290,297
W,13,298,305
W,14,306,313
W,15,314,321
B,0,85,92
B,1,93,100
B,2,101,108
B,3,109,118
B,4,119,126
B,5,127,135
B,6,136,144
B,7,145,152
B,8,153,160
B,9,161,168
B,10,169,176
B,11,177,184
B,12,185,192
B,13,193,200
B,1,201,208
B,2,209,216
B,3,217,224
B,4,225,233
B,5,234,241
G,0,85,92
G,1,93,100
G,2,101,108
G,3,109,118
G,4,119,126
G,5,127,135
G,6,136,144
G,7,145,152
G,8,153,160
G,9,161,168
G,10,169,176
G,11,177,184
G,12,185,192
G,13,193,200
G,1,201,208
G,2,209,216
G,3,217,224
G,4,225,233
G,5,234,241
